               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077551,            0.039131,            0.020497,             0.54729,             0.50283,             0.53892,             0.36719,             0.07092,            0.032731,            0.017417,              0.0008,              0.0008,              0.0928
                   1,            0.070961,             0.03904,            0.018054,             0.63065,             0.59647,             0.65065,             0.46675,            0.065033,            0.032406,            0.015873,           0.0016021,           0.0016021,            0.085502
                   2,            0.063384,            0.039428,            0.018736,             0.73664,             0.55815,             0.66329,             0.49281,             0.05635,            0.033285,             0.01478,           0.0023726,           0.0023726,            0.078173
                   3,            0.055462,            0.040183,            0.015457,             0.66735,             0.61579,             0.68337,             0.48163,            0.049914,            0.032806,            0.013073,           0.0030892,           0.0030892,            0.070789
                   4,            0.048122,            0.038588,            0.013255,              0.7903,             0.59516,              0.6967,             0.48539,            0.043507,            0.031188,             0.01143,           0.0037314,           0.0037314,            0.063331
                   5,            0.046497,            0.039255,            0.013498,             0.67457,             0.67356,             0.69999,             0.47637,            0.042138,            0.029957,            0.010858,           0.0042818,           0.0042818,            0.055782
                   6,            0.044628,            0.036043,            0.011616,             0.65904,             0.67835,             0.67507,             0.44925,             0.04339,            0.029653,            0.010952,           0.0047267,           0.0047267,            0.048127
                   7,            0.044482,            0.035631,             0.01182,             0.74937,             0.66615,             0.70738,             0.42048,             0.04423,            0.028921,            0.011046,           0.0050569,           0.0050569,            0.040357
                   8,            0.044079,            0.036171,            0.011055,             0.75779,             0.66632,             0.71771,             0.45863,            0.041935,            0.028995,            0.010616,           0.0052679,           0.0052679,            0.032468
                   9,            0.044942,            0.033993,            0.012156,             0.74531,             0.65811,             0.72451,             0.40971,            0.043645,            0.028475,            0.010811,           0.0053602,           0.0053602,             0.02446
                  10,            0.046442,            0.034413,            0.011017,             0.75522,             0.62731,             0.70121,             0.44453,             0.04887,             0.02882,            0.010419,             0.00534,             0.00534,             0.01634
                  11,            0.046267,            0.034707,             0.01111,             0.67821,             0.69519,             0.70235,             0.45244,            0.044685,            0.028897,            0.010391,           0.0052184,           0.0052184,           0.0081184
                  12,            0.042531,             0.03535,           0.0095133,             0.68337,             0.74329,             0.74255,             0.51352,            0.041493,            0.029683,            0.010661,           0.0047639,           0.0047639,           0.0047639
                  13,            0.041702,            0.035677,            0.010417,             0.70031,             0.70552,             0.71788,             0.44243,            0.042056,            0.029776,            0.010184,           0.0047639,           0.0047639,           0.0047639
                  14,            0.041182,            0.033948,           0.0093455,             0.78479,             0.65969,             0.74252,             0.48542,            0.041984,            0.029319,            0.010562,            0.004184,            0.004184,            0.004184
                  15,            0.039596,            0.034501,           0.0091398,             0.71794,             0.69644,              0.7279,             0.47209,            0.040402,             0.03004,            0.011057,           0.0036489,           0.0036489,           0.0036489
                  16,            0.037962,            0.032963,           0.0089269,             0.75563,             0.67797,             0.72109,             0.44679,            0.039812,             0.03035,            0.011154,           0.0031716,           0.0031716,           0.0031716
                  17,            0.038165,            0.035242,           0.0092807,             0.70701,             0.75346,             0.72905,             0.46879,            0.039659,            0.030616,            0.011046,           0.0027639,           0.0027639,           0.0027639
                  18,            0.036954,            0.033213,           0.0082125,             0.75409,             0.70978,             0.74057,             0.50407,            0.038189,            0.030514,            0.010964,            0.002436,            0.002436,            0.002436
                  19,            0.035739,            0.032428,           0.0084892,             0.70742,             0.74133,             0.75331,             0.51181,            0.038059,            0.030514,            0.010155,           0.0021958,           0.0021958,           0.0021958
